#http://dreference.blogspot.co.uk/2010/05/negative-ve-words-adjectives-list-for.html
Abandoned,-1
Abrasive,-1
Abrupt,-1
Abused,-1
Abusive,-1
Accused,-1
Addicted,-1
Afraid,-1
Aggravated,-1
Aggressive,-1
Alone,-1
Aloof,-1
Ambiguous,-1
Angry,-1
Anguish,-1
Annoyed,-1
Anxious,-1
Apprehensive,-1
Argumentative,-1
Arrogant,-1
Artificial,-1
Ashamed,-1
Assaulted,-1
At a loss,-1
At risk,-1
Atrocious,-1
Attacked,-1
Avoided,-1
Awful,-1
Awkward,-1
Bad,-1
Badgered,-1
Baffled,-1
Banned,-1
Barren,-1
Beat,-1
Beaten down,-1
Belittled,-1
Belligerent,-1
Berated,-1
Betrayed,-1
Bewildered,-1
Bitched at,-1
Bitter,-1
Bizzare,-1
Blacklisted,-1
Blackmailed,-1
Blamed,-1
Bleak,-1
Blown away,-1
Blur,-1
Boorish,-1
Bored,-1
Boring,-1
Bossed around,-1
Bothered,-1
Bothersome,-1
Bounded,-1
Boxed-in,-1
Broken,-1
Bruised,-1
Brushed off,-1
Bugged,-1
Bullied,-1
Bummed,-1
Bummed out,-1
Burdened,-1
Burdensome,-1
Burned,-1
Burned-out,-1
Caged in,-1
Callous,-1
Careless,-1
Chaotic,-1
Chased,-1
Cheated,-1
Cheated on,-1
Chicken,-1
Claustrophobic,-1
Clingy,-1
Closed,-1
Clueless,-1
Clumsy,-1
Coaxed,-1
Codependent,-1
Coerced,-1
Cold,-1
Cold-hearted,-1
Combative,-1
Commanded,-1
Compared,-1
Competitive,-1
Compulsive,-1
Conceited,-1
Concerned,-1
Condescended to,-1
Confined,-1
Confronted,-1
Confused,-1
Conned,-1
Consumed,-1
Contemplative,-1
Contempt,-1
Contentious,-1
Controlled,-1
Convicted,-1
Cornered,-1
Corralled,-1
Cowardly,-1
Crabby,-1
Cramped,-1
Cranky,-1
Crap,-1
Crappy,-1
Crazy,-1
Creeped out,-1
Creepy,-1
Critical,-1
Criticized,-1
Cross,-1
Crowded,-1
Cruddy,-1
Cruel,-1
Crummy,-1
Crushed,-1
Cut-down,-1
Cut-off,-1
Cynical,-1
Damaged,-1
Damned,-1
Dangerous,-1
Dark,-1
Dazed,-1
Dead,-1
Deceitful,-1
Deceived,-1
Deep,-1
Defamed,-1
Defeated,-1
Defective,-1
Defenestrate,-1
Defenseless,-1
Defensive,-1
Defiant,-1
Deficient,-1
Deflated,-1
Degraded,-1
Dehumanized,-1
Dejected,-1
Delicate,-1
Deluded,-1
Demanding,-1
Demeaned,-1
Demented,-1
Demonic,-1
Demoralized,-1
Demotivated,-1
Dependent,-1
Depleted,-1
Depraved,-1
Depressed,-1
Deprived,-1
Deranged,-1
Deserted,-1
Deserving of pain,-1
Desolate,-1
Despair,-1
Despairing,-1
Desperate,-1
Despicable,-1
Despised,-1
Destroyed,-1
Destructive,-1
Detached,-1
Detest,-1
Detestable,-1
Detested,-1
Devalued,-1
Devastated,-1
Deviant,-1
Devoid,-1
Diagnosed,-1
Dictated to,-1
Different,-1
Difficult,-1
Directionless,-1
Dirty,-1
Disabled,-1
Disagreeable,-1
Disappointed,-1
Disappointing,-1
Disapproved of,-1
Disarray,-1
Disbelieved,-1
Discardable,-1
Discarded,-1
Disconcerting,-1
Disconnected,-1
Disconsolate,-1
Discontent,-1
Discouraged,-1
Discriminated,-1
Disdain,-1
Disdainful,-1
Disempowered,-1
Disenchanted,-1
Disgraced,-1
Disgruntled,-1
Disgust,-1
Disgusted,-1
Disheartened,-1
Disheveled,-1
Dishonest,-1
Dishonorable,-1
Disillusioned,-1
Dislike,-1
Disliked,-1
Dismal,-1
Dismantle,-1
Dismayed,-1
Disorganized,-1
Disoriented,-1
Disowned,-1
Disparate,-1
Displeased,-1
Disposable,-1
Disregarded,-1
Disrespected,-1
Dissatisfied,-1
Distant,-1
Distracted,-1
Distraught,-1
Distressed,-1
Disturbed,-1
Disuse,-1
Dizzy,-1
Dominated,-1
Domineering,-1
Doomed,-1
Double-crossed,-1
Doubted,-1
Doubtful,-1
Down,-1
Down and out,-1
Down in the dumps,-1
Downhearted,-1
Downtrodden,-1
Draconian,-1
Drained,-1
Dramatic,-1
Dread,-1
Dreadful,-1
Dreary,-1
Dropped,-1
Drunk,-1
Dry,-1
Dumb,-1
Dumped,-1
Dumped on,-1
Duped,-1
Edgy,-1
Egocentric,-1
Egotistic,-1
Egotistical,-1
Elusive,-1
Emancipated,-1
Emasculated,-1
Embarrassed,-1
Emotional,-1
Emotionally bankrupt,-1
Emotionless,-1
Empty,-1
Encumbered,-1
Endangered,-1
Enraged,-1
Enslaved,-1
Entangled,-1
Envious,-1
Erratic,-1
Evaded,-1
Evasive,-1
Evicted,-1
Evil,-1
Excessive,-1
Excluded,-1
Exhausted,-1
Exploited,-1
Exposed,-1
Faded,-1
Failful,-1
Fake,-1
FALSE,-1
Falsely accused,-1
Fanatical,-1
Fear,-1
Fearful,-1
Feckless,-1
Fed up,-1
Fierce,-1
Filthy,-1
Finicky,-1
Flashy,-1
Flawed,-1
Flippant,-1
Foolish,-1
Forced,-1
Forgetful,-1
Forgettable,-1
Forgotten,-1
Fragile,-1
Frantic,-1
Freaked out,-1
Fretful,-1
Frightened,-1
Frigid,-1
Frustrated,-1
Furious,-1
Furtive,-1
Gloomy,-1
Glum,-1
Gormless,-1
Gothic,-1
Greedy,-1
Grey,-1
Grief,-1
Grieving,-1
Grim,-1
Gross,-1
Grossed-out,-1
Grotesque,-1
Grouchy,-1
Grounded,-1
Gruesome,-1
Grumpy,-1
Guarded,-1
Guilt-tripped,-1
Guilty,-1
Gullible,-1
Harassed,-1
Hard,-1
Hard-hearted,-1
Harmed,-1
Hassled,-1
Hate,-1
Hateful,-1
Hatred,-1
Haunted,-1
Heartbroken,-1
Heartless,-1
Heavy-hearted,-1
Helpless,-1
Hesitant,-1
Hesitant,-1
Hideous,-1
Hindered,-1
Homeless,-1
Hopeless,-1
Horrible,-1
Horrified,-1
Horror,-1
Hostile,-1
Hot-tempered,-1
Humiliated,-1
Hung over,-1
Hung up,-1
Hungry,-1
Hurried,-1
Hurt,-1
Hysterical,-1
Idiotic,-1
Ignorant,-1
Ignored,-1
Ill,-1
Ill-tempered,-1
Imbalanced,-1
Immaculate,-1
Impeccable,-1
Impetuous,-1
Imposed-upon,-1
Impotent,-1
Imprisoned,-1
Impromptu,-1
Impulsive,-1
In the dumps,-1
Inactive,-1
Inadequate,-1
Inadvertent,-1
Inane        ,-1
Incapable,-1
Incapacitated,-1
Incessant,-1
Inchoate,-1
Incognito,-1
Incommunicado,-1
Incommunicative,-1
Incompatible,-1
Incompetent,-1
Incomplete,-1
Incorrect,-1
Incorrigible,-1
Indecisive,-1
Indifferent,-1
Indoctrinated,-1
Indomitable,-1
Inebriated,-1
Ineffable,-1
Ineffective,-1
Inefficient,-1
Inept,-1
Inert,-1
Inevitable,-1
Inferior,-1
Infernal,-1
Infuriated,-1
